
🇨🇳央视频道,#genre#
cctv1,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
cctv1,http://120.196.232.32:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8?icpid=651&from=38&hms_devid=2232&online=1687246054&vqe=3
cctv1,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?&encrypt=
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?&encrypt=
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?&encrypt=
cctv1,http://61.169.37.218:9901/tsfile/live/0001_1.m3u8?key=txiptv
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/2500/index.m3u8?&encrypt=
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1/350/index.m3u8?&encrypt=
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1/600/index.m3u8?&encrypt=
cctv1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/350/index.m3u8?&encrypt=
cctv1,http://cfss.cc/api/ysp/cctv1.m3u8
cctv1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv
cctv1,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv1,http://cfss.cc/api/ysp/cctv10.m3u8
cctv1,http://cfss.cc/api/ysp/cctv11.m3u8

cctv10,http://61.169.37.218:9901/tsfile/live/0010_1.m3u8?key=txiptv
cctv10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
cctv10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?&encrypt=
cctv10,http://cfss.cc/api/ysp/cctv10.m3u8
cctv10,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv10/350/index.m3u8?&encrypt=
cctv10,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv10/1000/index.m3u8?&encrypt=
cctv10,http://cfss.cc/ds/bst.php?id=Cf-11
cctv10,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
cctv10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/350/index.m3u8?&encrypt=
cctv10,http://gmxw.7766.org:808/hls/28/index.m3u8
cctv10,http://58.220.219.14:9901/tsfile/live/0010_1.m3u8?key=txiptv
cctv10,http://122.224.153.162:9901/tsfile/live/0010_1.m3u8?key=txiptv

cctv11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
cctv11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd265/55/20200407/index.m3u8?&encrypt=
cctv11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?&encrypt=
cctv11,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv11/350/index.m3u8?&encrypt=
cctv11,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv11/1000/index.m3u8?&encrypt=
cctv11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/50/20200103/index.m3u8?&encrypt=
cctv11,http://61.169.37.218:9901/tsfile/live/0011_1.m3u8?key=txiptv
cctv11,http://cfss.cc/api/ysp/cctv11.m3u8
cctv11,http://gmxw.7766.org:808/hls/29/index.m3u8
cctv11,http://58.220.219.14:9901/tsfile/live/0011_1.m3u8?key=txiptv
cctv11,http://122.224.153.162:9901/tsfile/live/0011_1.m3u8?key=txiptv

cctv12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
cctv12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?&encrypt=
cctv12,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv12/350/index.m3u8?&encrypt=
cctv12,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv12/1000/index.m3u8?&encrypt=
cctv12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/50/index.m3u8?&encrypt=
cctv12,http://cfss.cc/api/ysp/cctv12.m3u8
cctv12,http://61.169.37.218:9901/tsfile/live/0012_1.m3u8?key=txiptv
cctv12,http://gmxw.7766.org:808/hls/30/index.m3u8
cctv12,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv
cctv12,http://122.224.153.162:9901/tsfile/live/0012_1.m3u8?key=txiptv
cctv12,http://gxdl-lhs.8866.org:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0

cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
cctv13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?&encrypt=
cctv13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/350/index.m3u8?&encrypt=
cctv13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/1000/index.m3u8?&encrypt=
cctv13,http://61.169.37.218:9901/tsfile/live/0013_1.m3u8?key=txiptv
cctv13,http://122.224.153.162:9901/tsfile/live/0013_1.m3u8?key=txiptv
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8?auth_key=1635962688-0-e013f973588e41599d7751a912170d78-fd33c55f8befe5c00fb32fee650348c0
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
cctv13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8

cctv14,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv14hd/3000/index.m3u8?&encrypt=
cctv14,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv14hd265/55/20200407/index.m3u8?&encrypt=
cctv14,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?&encrypt=
cctv14,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv14/350/index.m3u8?&encrypt=
cctv14,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv14/1000/index.m3u8?&encrypt=
